Date;Time;<Дятьковская> СВ 110 кВ Ia;<Дятьковская> СР-1 110;
10.01.2022;15:30:00.000;160.931;1.0;
10.01.2022;16:00:00.000;156.799;1.0;
10.01.2022;16:30:00.000;154.452;1.0;
10.01.2022;17:00:00.000;157.378;1.0;
10.01.2022;17:30:00.000;153.996;1.0;
10.01.2022;18:00:00.000;149.838;1.0;
10.01.2022;18:30:00.000;154.451;1.0;
10.01.2022;19:00:00.000;147.591;1.0;
10.01.2022;19:30:00.000;156.666;1.0;
10.01.2022;20:00:00.000;161.503;1.0;
10.01.2022;20:30:00.000;164.354;1.0;
10.01.2022;21:00:00.000;145.387;1.0;
10.01.2022;21:30:00.000;136.288;1.0;
10.01.2022;22:00:00.000;133.400;1.0;
10.01.2022;22:30:00.000;120.969;1.0;
10.01.2022;23:00:00.000;123.317;1.0;
10.01.2022;23:30:00.000;105.737;1.0;
11.01.2022;00:00:00.000;101.968;1.0;
11.01.2022;00:30:00.000;102.298;1.0;
11.01.2022;01:00:00.000;100.989;1.0;
11.01.2022;01:30:00.000;108.353;1.0;
11.01.2022;02:00:00.000;105.184;1.0;
11.01.2022;02:30:00.000;113.467;1.0;
11.01.2022;03:00:00.000;116.284;1.0;
11.01.2022;03:30:00.000;126.811;1.0;
11.01.2022;04:00:00.000;136.025;1.0;
11.01.2022;04:30:00.000;132.927;1.0;
11.01.2022;05:00:00.000;131.983;1.0;
11.01.2022;05:30:00.000;141.104;1.0;
11.01.2022;06:00:00.000;141.692;1.0;
11.01.2022;06:30:00.000;143.226;1.0;
11.01.2022;07:00:00.000;141.215;1.0;
11.01.2022;07:30:00.000;139.902;1.0;
11.01.2022;08:00:00.000;140.868;1.0;
11.01.2022;08:30:00.000;141.678;1.0;
11.01.2022;09:00:00.000;134.013;1.0;
11.01.2022;09:30:00.000;136.682;1.0;
11.01.2022;10:00:00.000;135.148;1.0;
11.01.2022;10:30:00.000;131.268;1.0;
11.01.2022;11:00:00.000;131.680;1.0;
11.01.2022;11:30:00.000;136.772;1.0;
11.01.2022;12:00:00.000;133.806;1.0;
11.01.2022;12:30:00.000;140.706;1.0;
11.01.2022;13:00:00.000;137.684;1.0;
11.01.2022;13:30:00.000;138.247;1.0;
11.01.2022;14:00:00.000;133.362;1.0;
11.01.2022;14:30:00.000;133.317;1.0;
11.01.2022;15:00:00.000;132.491;1.0;
11.01.2022;15:30:00.000;135.277;1.0;
11.01.2022;16:00:00.000;131.937;1.0;
11.01.2022;16:30:00.000;135.780;1.0;
11.01.2022;17:00:00.000;135.564;1.0;
11.01.2022;17:30:00.000;137.408;1.0;
11.01.2022;18:00:00.000;147.188;1.0;
11.01.2022;18:30:00.000;142.383;1.0;
11.01.2022;19:00:00.000;142.224;1.0;
11.01.2022;19:30:00.000;146.870;1.0;
11.01.2022;20:00:00.000;150.415;1.0;
11.01.2022;20:30:00.000;142.006;1.0;
11.01.2022;21:00:00.000;130.583;1.0;
11.01.2022;21:30:00.000;120.250;1.0;
11.01.2022;22:00:00.000;119.320;1.0;
11.01.2022;22:30:00.000;105.149;1.0;
11.01.2022;23:00:00.000;103.875;1.0;
11.01.2022;23:30:00.000;100.348;1.0;
12.01.2022;00:00:00.000;92.924;1.0;
12.01.2022;00:30:00.000;96.920;1.0;
12.01.2022;01:00:00.000;88.896;1.0;
12.01.2022;01:30:00.000;95.336;1.0;
12.01.2022;02:00:00.000;91.994;1.0;
12.01.2022;02:30:00.000;101.455;1.0;
12.01.2022;03:00:00.000;103.806;1.0;
12.01.2022;03:30:00.000;112.235;1.0;
12.01.2022;04:00:00.000;124.851;1.0;
12.01.2022;04:30:00.000;114.948;1.0;
12.01.2022;05:00:00.000;121.334;1.0;
12.01.2022;05:30:00.000;136.931;1.0;
12.01.2022;06:00:00.000;140.760;1.0;
12.01.2022;06:30:00.000;140.796;1.0;
12.01.2022;07:00:00.000;131.900;1.0;
12.01.2022;07:30:00.000;135.804;1.0;
12.01.2022;08:00:00.000;143.926;1.0;
12.01.2022;08:30:00.000;139.542;1.0;
12.01.2022;09:00:00.000;138.672;1.0;
12.01.2022;09:30:00.000;144.758;1.0;
12.01.2022;10:00:00.000;130.517;1.0;
12.01.2022;10:30:00.000;141.215;1.0;
12.01.2022;11:00:00.000;134.021;1.0;
12.01.2022;11:30:00.000;134.040;1.0;
12.01.2022;12:00:00.000;134.047;1.0;
12.01.2022;12:30:00.000;141.702;1.0;
12.01.2022;13:00:00.000;139.109;1.0;
12.01.2022;13:30:00.000;143.246;1.0;
12.01.2022;14:00:00.000;144.756;1.0;
12.01.2022;14:30:00.000;143.318;1.0;
12.01.2022;15:00:00.000;141.966;1.0;
12.01.2022;15:30:00.000;144.008;1.0;
12.01.2022;16:00:00.000;138.706;1.0;
12.01.2022;16:30:00.000;145.648;1.0;
12.01.2022;17:00:00.000;143.540;1.0;
12.01.2022;17:30:00.000;148.872;1.0;
12.01.2022;18:00:00.000;146.290;1.0;
12.01.2022;18:30:00.000;146.399;1.0;
12.01.2022;19:00:00.000;144.712;1.0;
12.01.2022;19:30:00.000;146.549;1.0;
12.01.2022;20:00:00.000;146.588;1.0;
12.01.2022;20:30:00.000;140.864;1.0;
